Type	Number	Date	Content
Explorer	1	123355345999453	I've done it, I made it to the black hole, in a few days I'll be the first Arloran to venture inside. I'll be a legend.
Explorer	2	123355345999478	Aproach is inminent, collision expected in 20 minutes. I can feel the pull in my body. I can see the event horizon. I can feel history being made.
Explorer	3	123355345999650	I'm inside, I'm in the complete black void. My instruments detect absolutetly nothing, my eyes see nothing. I can only assume there is nothing here.
Explorer	4	123355345999650	It's been a year since my last entry, nothing happened since. Just me, my ship, my mind and my void. Today I felt like I should write this down for some reason.
Explorer	5	123355345999650	My instruments have detected something, a blip in the computer, a sound I had forgotten. Finally I have something to explore.
Explorer	6	123355345999650	I hit it! I'm stuck. I lost. I fear this is my end. I realeased my logs to the void. To whoever finds them. What the fuck where you thinking? Get out of my property!
Explorer	7	123355345999650	Exploring the nothingness is easy. Once you see the first few kilometers you've seen them all. The only hard part is pushing aside any ideas of something hiding in the dark. Trust me, I'm the only thing here and I'm not hiding.
Explorer	8	123355345999650	With time I've become really good at thinking. It only makes sense, it's almost exclusively the only thing I do. I've won and lost countless arguments and reformulated thousands of axioms. I should have written some of them down.
Explorer	9	123355345999650	I wonder what people are doing back home. Are they still fighting? Or were they sufficently amazed by my prowess that peace now reigns? Have they given up borders? Have they made me a statue?
Explorer	10	123355345999650	I've been thinking a lot about the statue of me back home. It defintly is very big. Afterall the bigger the acomplishment the bigger the statue. I hope it includes my ship. I also hope is made in a way that children can play in it. And that also serves as housing for the homeless. Also food. And made out of gold.
Explorer	11	123355345999650	There is void, empty void, void with space dust, black void, sligtly grey void, static void, swirling void, void with something that turns out to be a smudge in the lens, void of despair, void of resignation, and, sometimes, very rarely, happy void (still undiscovered)
Explorer	12	123355345999650	I have realized that my energy supply, and therefore, my food supply will last for another thousand years. I fucking hate engineers, they couldn't even give me the option to starve to death. If only I was a coward, I could take the easy way out.
Explorer	13	123355345999650	I heard the gods talking the other day. They were discussing my fate. A few wanted to smite me for my defiance, others wanted me to ascend because of my bravery, a few wanted to be with me because of my good looks. The debate was heated until the fridge stopped defrosting and I couldn't hear them anymore.
Explorer	14	123355345999650	I just want to come back, set my feet on solid ground once more. I want to be able to stretch my arms. I want to be free again.
Explorer	15	123355345999650	Don't know waht happened to me on my previous log. I love being in my space can, surrounded by empty void. I'm the best explorer any civilization has ever seen, and there's nothing to explore back home.
Explorer	16	123355345999650	Now that a few years have come by I can confidently say this place is empty, and, therefore, I'm the first to discover it. I will name it "Hanert's Hole", because is mine, is a hole, and I like illiteration.
Explorer	17	123355345999650	Chapter 1, the day I was born, nobody else was. I was the first Arloran to be born at 76:34 on a Verten. A true visionary, on that day I knew I was destined for great things.
